name;url;type
2017-07-01-Tercer-evento-Taller-Ciencia-de-Datos-II;https://github.com/rladies/meetup-presentations_buenosaires/tree/master/2017-07-01-Tercer-evento-Taller-Ciencia-de-Datos-II;dir
2017-08-05 - Cuarto evento - Intro a Shiny;https://github.com/rladies/meetup-presentations_buenosaires/tree/master/2017-08-05%20-%20Cuarto%20evento%20-%20Intro%20a%20Shiny;dir
2017-08-05 - Cuarto evento - Taller de datos geograficos -parte 1;https://github.com/rladies/meetup-presentations_buenosaires/tree/master/2017-08-05%20-%20Cuarto%20evento%20-%20Taller%20de%20datos%20geograficos%20-parte%201;dir
2017-09-30 - Quinto evento - Taller de Shiny;https://github.com/rladies/meetup-presentations_buenosaires/tree/master/2017-09-30%20-%20Quinto%20evento%20-%20Taller%20de%20Shiny;dir
2017-11-25 - Sexto evento - Taller de RMarkdown;https://github.com/rladies/meetup-presentations_buenosaires/tree/master/2017-11-25%20-%20Sexto%20evento%20-%20Taller%20de%20RMarkdown;dir
2018-03-27 - Primer evento 2018;https://github.com/rladies/meetup-presentations_buenosaires/tree/master/2018-03-27%20-%20Primer%20evento%202018;dir
2018-05-19 - Segundo evento - R desde Cero;https://github.com/rladies/meetup-presentations_buenosaires/tree/master/2018-05-19%20-%20Segundo%20evento%20-%20R%20desde%20Cero;dir
2018-08-04 - De SPSS a R;https://github.com/rladies/meetup-presentations_buenosaires/tree/master/2018-08-04%20-%20De%20SPSS%20a%20R;dir
2018-12-03 - Taller de Blogdown;https://github.com/rladies/meetup-presentations_buenosaires/tree/master/2018-12-03%20-%20Taller%20de%20Blogdown;dir
2019-06-15-webscrapping-y-datos-meteorologicos;https://github.com/rladies/meetup-presentations_buenosaires/tree/master/2019-06-15-webscrapping-y-datos-meteorologicos;dir
2019-09-14-Git_Rstudio;https://github.com/rladies/meetup-presentations_buenosaires/tree/master/2019-09-14-Git_Rstudio;dir
2019-10-19-R_para_nerds;https://github.com/rladies/meetup-presentations_buenosaires/tree/master/2019-10-19-R_para_nerds;dir
Banner;https://github.com/rladies/meetup-presentations_buenosaires/tree/master/Banner;dir
Invitation_Letters;https://github.com/rladies/meetup-presentations_buenosaires/tree/master/Invitation_Letters;dir
Otros Eventos;https://github.com/rladies/meetup-presentations_buenosaires/tree/master/Otros%20Eventos;dir
README.md;https://github.com/rladies/meetup-presentations_buenosaires/blob/master/README.md;file
logos;https://github.com/rladies/meetup-presentations_buenosaires/tree/master/logos;dir
.gitignore;https://github.com/rladies/meetup-presentations_capetown/blob/master/.gitignore;file
2017-07_Launch_Event;https://github.com/rladies/meetup-presentations_capetown/tree/master/2017-07_Launch_Event;dir
2017-10-16_DataTransformation;https://github.com/rladies/meetup-presentations_capetown/tree/master/2017-10-16_DataTransformation;dir
2017-11-04_DataViz;https://github.com/rladies/meetup-presentations_capetown/tree/master/2017-11-04_DataViz;dir
2017-12-04_Regex;https://github.com/rladies/meetup-presentations_capetown/tree/master/2017-12-04_Regex;dir
2018-03-15_BlogsWithR;https://github.com/rladies/meetup-presentations_capetown/tree/master/2018-03-15_BlogsWithR;dir
2018-04-17_DockerForDataScience;https://github.com/rladies/meetup-presentations_capetown/tree/master/2018-04-17_DockerForDataScience;dir
2018-07-26_MapsWithggmap;https://github.com/rladies/meetup-presentations_capetown/tree/master/2018-07-26_MapsWithggmap;dir
README.md;https://github.com/rladies/meetup-presentations_capetown/blob/master/README.md;file
.gitignore;https://github.com/rladies/meetup-presentations_CDMX/blob/master/.gitignore;file
README.md;https://github.com/rladies/meetup-presentations_CDMX/blob/master/README.md;file
presentaciones;https://github.com/rladies/meetup-presentations_CDMX/tree/master/presentaciones;dir
.gitignore;https://github.com/rladies/meetup-presentations_charlottesville/blob/master/.gitignore;file
2017-11-14 RLadies Charlottesville Kickoff Meeting.pptx;https://github.com/rladies/meetup-presentations_charlottesville/blob/master/2017-11-14%20RLadies%20Charlottesville%20Kickoff%20Meeting.pptx;file
2017-12-05 Intro to R.Rmd;https://github.com/rladies/meetup-presentations_charlottesville/blob/master/2017-12-05%20Intro%20to%20R.Rmd;file
